reviewId,content,score
ae5dacd4-00b8-4b33-bb72-080115c4bea4,Outstanding,5
d731dd36-c4a1-4437-a8ad-9e578bff1093,Always spins even on the best connection,2
a9cc4702-e137-462b-b73a-50f7f4569b4c,I want get it off my phone,1
50981042-c48e-4e75-80c5-bf08888a801f,Nice,5
98daabd1-83dd-42d2-a552-551a3343379e,Nice App ! I like this app,4
4ad6c4a7-0e01-4f19-b38b-0edb34c23c43,Your ads started being annoying!!! Scrolling down and seeing the same ad over and over again is really doing not a good thing!,1
c46032bb-1085-490c-b6ee-20dc0d705d6d,Pages will not load anymore. Takes longer to refresh. I have tried reinstalling several times and still have the same issues.,2
d7228391-aff3-44c1-9cba-bc4ae215279a,v xX,1
49fba5e4-1783-4e17-99dd-23b31fbc714c,Very good news aggregater,5
6d15f5ba-82ff-465b-9a35-68ef21e425c0,Otimo aplicativo,5
6f6afe5f-4809-4e77-9189-b588e2b6522d,Uqwo,1
deaf726f-1711-4f84-b3b0-55aeeb4d15e1,twas good.,2
62ad5a0e-b0f7-47c4-8015-2ff91d3bd047,I love Flipboard!!!,5
6d9204db-1586-4e0d-807f-07d17bfbd995,Buggy as hell. Freezes constantly.,1
bcaf2109-ae0e-474b-97cd-4b92e6e7a94c,"This app is just a vehicle for websites to get ad revenue because it does not block any adds, it also has a plethora of its own ads hiding as stories so you will click them. Some stories are just a page with a headlines and ads,there is no article. You cannot block sites that require a subscription. Pretty much daily it will randomly reload when you are reading and jump back to the start page. If you could open the articles outside of the app it might be sort of useful.",2
f7463c4d-5d5e-4491-ac62-92ed9fc7d7aa,Enlightening...,5
3526fa53-e39b-42e5-acab-e769c63eb383,Intrusive advertising makes some articles impossible to read.,3
3f3fd74c-c511-4581-b248-ab3e5633322c,I am a,5
92b68865-d82d-4e75-a9ac-a30aa76a2855,This app will freeze on you every other article. It has been years and this problem continues to exist. Good app but you will stop using after a week.,1
fc9533ee-fce3-4c95-9820-80e3c70d38c7,Most stories will open to pay walls or click bait that take several minutes to clear the screen. Used to be ok now nearly unusable.,1
ef1e97ac-0cb6-4ab5-b20f-0a9e12cc6ce1,Garbage. You go to the web page and it makes you download the app to see anything. What a waste of time,1
44887441-da12-4bda-8310-8ae1a0dc670d,,4
4adbc0a0-9d25-4ae7-b97c-fd415828d7b6,Good app,5
3d88415b-d9c6-423f-b144-43e894ef5418,Do you test updates before launching them? Broken again...,2
fd10d868-b39b-49c6-a243-5d1303cfa437,Rial aps,5
c376b0c1-113d-4ec1-88ee-674fabf1074f,Can no longer add a caption before posting to magazine,2
55fffa73-75b4-4d68-af5a-15a149fe07e5,"Cool idea, just wish that it was easier to get activity for your content. Now it is mainly major outlets that reveive most of it.",3
e1622ab7-e3ec-462b-a8f2-5b83ea3669a0,Edge always the insite and try to know the diffetence and refer,3
44a1deaf-e03c-4f97-9d4b-b02f3ae62bf2,Great news site.,5
f028738c-e6d6-42ab-8447-14506d94414e,Gives good news easy to use,5
e9525568-102b-47bc-859d-5e2e088c4442,Best n r.rf,1
0d8625f6-0af0-456c-a663-c8ee67bafe42,"Much less hard news today and constantly freezes. Additionally, the ability to comment has become a place for unhinged trolls.",3
2f7b76d8-0c06-4de5-bc0a-fbcb3e9a2e1e,Ze,1
f2e2a39b-d5ef-41e3-a4aa-20d59afbac4a,I use this app alot. The continue crashing its annoying. Fix it. I guess I will get something else. Please fix it. Thanks,2
a7f22a7d-e753-417c-8d5c-9f943a22b1b8,How do I download images? It used to be no problem. Help.,5
02181905-16de-4f0e-b2ea-54596cd64b13,Excellent,5
22b1d47c-6302-4d85-9ea4-c858e3bfe97b,I love having a place to store and catch up on important and entertaining matters and articles that are of interest to me. A Great tool!,5
29335652-2e9f-4689-9378-5ac9ef6e39bb,Misleading,1
60490990-f8f5-466d-994e-93a0968f9dfe,Sharon lam happy with it,5
aae7ad6f-2152-4d69-af09-9d8c20eaa296,Good,4
894413ac-7547-4d4f-be3c-790588f0722c,Good,5
14641688-71ae-46bb-b093-23222b4bcb9d,Brilliant app lots to choose from,5
ca93a4d9-89bd-4567-8064-211bd7eb2d5d,"This app needs fixed! Stories do not open all to often, this has been an issue for way too long. May remove the App, again due to frustration.",1
d2ef45fa-df0f-4cbe-88f8-50a97f074db2,All good,5
7b1b67a8-7b29-4806-992f-265e524b03bc,"Love the customized way it works. You only read what you like, but can still be introduced to things you did not know you like.",5
0119f798-d9af-4fd6-85e9-654041391933,Flipboard helps for every where,5
8889c486-6db5-4eef-b294-9fd2aff22ae9,Great UI!,5
30d7483c-bb08-4adf-902b-a8a71ed5c5ae,Great news and information app.,5
d32e6edd-963a-463c-97d1-b90f8d4556c3,Flipboard provided much better curated news than other options,5
58e17b47-2b73-4381-99ed-a225347a6382,Useful. Functional. Customisable.,4
4e4ea190-23e8-4aea-9341-30442194342c,Complete hogwash if you hate yourself and everyone else this is the app for you,1
6255fd95-a540-441f-9884-40633b27ae6a,Love It,5
a5c88c9b-184e-44dc-86ac-f61f22a7fe57,Freezes,2
f0c7c954-66b2-4b8e-93c6-5cd61098476c,Cannot use Google Acct to open Subscriptions. Google states Flipboard does not meet their minimum security requirements. Flipboard continues failing,2
8548d63e-fc79-4a3d-886c-188a4e9501a8,Great,5
ea6bb5f8-d1fb-4da7-be2d-46e51eb147d0,Works great,1
491a12fd-60d8-4903-b6df-17b1f4df1479,Best ever,5
1a94401a-fed1-47e2-80de-9d10a0400f4e,Good,5
16df4b41-354e-4cae-9e3d-41a8f0b24ce8,tux fg,5
8641bbfb-7261-4b41-95dc-4e0441557960,I do not want this on my phone,1
215fea3d-62e9-4709-8e8d-6695ce3b0447,I have been using Flipboard for years. It my main news and information app. Really gives me what I want!,4
bceeed85-81cb-43f6-a20c-faf17847f28a,"Just love , had it before and finally I was able to remember, let me tell you, I love it !",5
8fce98e0-b885-4503-82e9-9d0d1ce1f767,I love Flipboard,5
9e269c29-0f77-4c5d-baf0-0dfc7018c606,Top,5
9b8752a3-c049-48f5-8b5f-0f900c1879b1,Exelente,5
bffc4b86-ae9f-4759-9b1c-f180270e9743,Nice,5
277f50c1-f33f-4b39-9546-abd425bdc305,"This app is terrable. Freezes, doesnt load content, closes unexpectedly.",1
a0686c18-780d-4252-8f97-2202439aebf9,Wiienra,2
f758f995-e763-4071-ac1f-778e4dcd386e,Censorship is present,2
7ac34244-e3f2-4d20-a6b3-d54241d91b3a,"It constantly freeze, and knocks you articles u invested some reading and its gone.",2
7e779dc7-c9a1-400a-8a0b-e5c3956fbc1f,Best News app,5
89324cfd-8dd6-4a47-b250-e2ec180d289b,I find it skews to the left..would appreciate better balance,3
993b77ba-c0cb-4896-bc50-d6756d867600,Love it,5
677c586f-897c-470f-b237-6d53c1233ae9,Love it. Better than wasting precious time on social media with little mental stimulus.,5
7d20245b-4d45-43d3-b02a-6b6e37bc0677,Keeps crashing,2
ff97da72-91af-4cae-95db-237f29f3ad4f,If you like progressivism and the current establishment voice then flipboard is your go to source for news.,1
efb32573-f505-4c20-9018-77c8a9a7d882,Normal,5
56d4708f-5fdf-4e37-9764-2548a430c0ce,I love Flipboard because it keeps my memories safe thank you Flipboard,5
218ce293-179a-4759-8437-4e6dc5e017a2,Keeps crashing.,2
1a726220-abcd-4ddd-92c5-989f791dbc7a,How,3
59bdad00-fe7b-4ddb-a5f4-71d7f7c357be,Could not log in,2
11320420-85b8-4e0f-bfc0-a37abc25b1f1,"I adore Flipboard, so customizable, it logs your page likes and you can save articles into your magazine, again making the title, etc your own. A social community as well, follow others and chat too. Love Flipboard!",5
1a46f89f-40c3-4796-8205-fd46c0183b3f,Having trouble loading stories. Sometimes only get half a story,4
176fc7b4-30de-4a53-9f9e-65db01d25628,"I want to stay with news that has done research at some point, yet have to subscribe for it? No wonder an majority of people are believing cheap conspiracy theories!",2
8421ec20-284e-4c08-9337-23a67d46fe03,Censors your feedback!!!!!,1
21c54400-2a71-4c8b-82ca-90fdfdfaf3db,Good stuff shalom...woke black people.,4
a2b4b73f-7c74-4b1b-9488-78cb0111a055,So easy to use. Good study continues every day.,5
c342ffe6-373c-4fca-9ee0-43e6361b2a29,"I love this app. There are a lot of topics that interest me. Finding sources to read up on them can be difficult. Flipboard brings many sources with a lot of details. Plus, it brings other topics that are related. In addition you can get multiple perspectives on current events.",5
3da9c4b3-3e92-431a-832f-cd1dcd4d36e9,Keeps freezing,3
aec7606b-0e2e-49bd-8828-0323e1b8d8ba,It was my favorite news app for years but now it crashes all the time.,1
a8bd16f3-ebca-494e-808d-c4cb968dbb4d,More and more sources unable to be flipped.,2
98b89c2f-75d2-40f1-b266-451f38168df1,The app is no longer supported with Twitter and now is complete trash. Deleting my account for sure now,1
89ccc808-45a9-42ff-9a3d-5517f0648688,Good,5
e2cbbb64-ea40-4596-aa7c-bcba4521d67b,Love it,4
8016205c-b20e-409b-af4f-77b8984811c1,The only one juju jjjjjjjjjjbjhjujjbjjujujjjjbjjjuiijjjj the jj the house jjbjbjj,4
9f898f7a-d3f9-416e-a7a7-b625962bbde0,"Exceptional App for me, thanks!",5
ec82eda4-abee-4fcb-9344-6ec5ffca37b2,Why so many OLD reviews!!?? Certainly makes me hesitant to even download this!?!,1
f8b5d798-1cad-43e5-96c4-d7bb71e8cf41,Gf,3
1d43cb34-1b5c-4ad5-849c-eda6bf3404bc,Awesome!,5
c86454ee-6586-49b9-b274-5de1985f7441,Literal spyware,1
30fdbb6d-f0fc-479f-919a-964854769a80,Interesting enough. But the advertising is ridiculous,4
b0568685-f224-465d-b98a-dbaf25d5153c,Continually crashing.,3
7d2f6af4-0c3e-4f2f-9e9f-8fab4a53bfca,Love the variety,5
c044c124-33f1-45e8-9fef-8d5853377c76,Mesenger,5
9ceb820f-bcfd-49e4-a2f0-87b9bfede58f,Happy,5
d8017e73-8c37-4e32-8066-b51b43c4ec9a,good,5
a2833069-42e5-44b3-a184-3367ba2d666d,"Informative, nice layout.",4
dadc1f3c-1118-4a94-9367-2a5e8fccd0b5,hue thunder,5
7d0d1b3b-3ecb-4b34-9833-89937a472851,For me very good.,5
f11916be-d980-454e-97d2-db14e16581e6,Clutters up my phone.,1
901226f0-23bd-4cde-8056-b7deee13c5e7,The app is failing continuosly. It just stop working and we have to install again and again. Can somebody help?,2
ea5e5520-f402-4462-84b6-349fe056c200,Great app for keeping in touch with latest developments in any field,5
2db7d58b-d278-4b10-8ff0-787d610c1147,Good app.,4
70fe44c0-4d60-493c-89bb-0aa5984caacb,Bailey is usome,1
ea67e1ca-3193-4f17-b9d2-29b67d7c13db,"I used to really love this app, but now it freezes and kicks me off every time I use it. Frustrating to only be able to read half of an article.",2
333cf2cc-300f-4c40-97ce-3cd5caddedee,This app is to political and expresses one side to often for me. The opinions and articles in my feed are not in line with what I select to see either.,1
740dd02c-e579-4c60-add4-0a8660b8a92a,Used to work great. Now constant crashes and spontaneously restarts have made it almost impossible to read without major frustration.,2
6276cbb7-4737-4d14-8b3c-259b61375bcd,Performance of this ap is quite satisfactory!,4
b31d3c53-cdd8-4978-afde-b8bf8ac654a8,Bad CX when I am using in foldtable phone.,1
20e0d873-0efd-4263-9e5e-e3fe5d1b0b60,.mljjo,5
16f9ec36-e4d4-4e9c-8132-ec26bfda2ea7,Sk l,3
65bb6783-b255-4e47-9635-be1eca7a8903,THIS IS NEW FOR ME,5
9bc5f797-1a4e-4290-b26c-d3188ee728c7,Your app sucks,1
1d71233d-9a15-44eb-8936-9b66b45e37ce,Ok,4
42e2acd3-010f-4e73-a493-e724f900cc4b,"something changed in the last update and now the app never opens. I cleared cache, cleared data, uninstalled and reinstalled and restarted my phone. none of this fixed it. sorry, I give up. moving on to a different app",1
62db9aa7-8b61-424c-8f6c-dde7f06cb4e5,Too many intrusive ads bog down the app!,2
4560084c-cb0b-4ba6-97b3-3dccd4431ee3,"flipboard had been an excellent service to me in improving my knowledge levels in, photography, health, science, and many materials especially in educational issues. This is just now but over the years.",5
9e45968a-2340-4985-afe8-913691922fd5,I really enjoy the intermingled recipes with the news I like to read.,5
9a7d6771-5884-4b3b-9061-9bb1df419ddf,"Very useful app and aesthetically pleasing. However, none of the videos on Flipboard TV seem to play.",3
6401829f-1492-49e3-88ce-dd050077da9f,"Great app, tailored news to your liking. Would recommend.",5
fee22e62-70b8-42db-9d07-897c423a7643,"Fine content, but getting to load is a drag. Mostly you have to first click on the story, then click to open in the web, then click back twice to get back to the feed. Shame that the overabundance of ads and this bug ruins the app.",3
fc232d48-bd0a-48c4-aba2-f6de66c1b0aa,Gucci,5
